epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1097.7,1.51709,1.77703,2.45905,0.46691,0.25648,0.35369,0.21504,1.64043,1.92845,2.63717,0.000540037,0.000540037,0.000540037
43,1123.57,1.50706,1.74277,2.44745,0.44851,0.25157,0.35803,0.2258,1.63862,1.94114,2.63773,0.000531038,0.000531038,0.000531038
44,1149.67,1.50351,1.73883,2.44195,0.49285,0.2793,0.38268,0.23089,1.62625,1.89446,2.64638,0.000522039,0.000522039,0.000522039
45,1175.79,1.49369,1.72906,2.46007,0.42817,0.28287,0.34499,0.20236,1.64345,1.92854,2.63398,0.00051304,0.00051304,0.00051304
46,1201.53,1.47449,1.71343,2.44189,0.4846,0.28728,0.37975,0.22921,1.63559,1.91261,2.64611,0.00050404,0.00050404,0.00050404
47,1227.76,1.47411,1.69226,2.42057,0.42521,0.27905,0.35503,0.21557,1.64115,1.93106,2.6573,0.000495041,0.000495041,0.000495041
48,1253.73,1.47084,1.70084,2.44919,0.4646,0.29649,0.39014,0.23445,1.61819,1.91077,2.6431,0.000486042,0.000486042,0.000486042
49,1279.68,1.4567,1.67783,2.41552,0.47848,0.29689,0.38142,0.22598,1.6274,1.89962,2.65143,0.000477043,0.000477043,0.000477043
50,1305.64,1.46299,1.67235,2.4191,0.45777,0.28352,0.37119,0.23093,1.63406,1.89071,2.64699,0.000468044,0.000468044,0.000468044
51,1331.23,1.44936,1.65983,2.41136,0.4925,0.28893,0.384,0.23297,1.63652,1.91122,2.66212,0.000459045,0.000459045,0.000459045
52,1357.08,1.44228,1.66589,2.40874,0.43775,0.29593,0.36339,0.21787,1.62842,1.90379,2.65328,0.000450046,0.000450046,0.000450046
53,1383.12,1.44264,1.6274,2.3992,0.48009,0.30082,0.38382,0.22473,1.67386,1.91514,2.69815,0.000441047,0.000441047,0.000441047
54,1408.95,1.43382,1.62524,2.39599,0.48126,0.29898,0.39421,0.23695,1.62733,1.86056,2.6555,0.000432048,0.000432048,0.000432048
55,1435.12,1.42721,1.6214,2.39218,0.48788,0.26787,0.37396,0.23469,1.65182,1.89141,2.67226,0.000423049,0.000423049,0.000423049
56,1461.08,1.42997,1.61187,2.38386,0.4932,0.30057,0.39331,0.242,1.6243,1.85916,2.63434,0.000414049,0.000414049,0.000414049
57,1487.6,1.42316,1.60269,2.37601,0.48146,0.2853,0.37847,0.23258,1.63151,1.87017,2.65512,0.00040505,0.00040505,0.00040505
58,1513.99,1.41999,1.58844,2.35572,0.42965,0.31034,0.36971,0.22389,1.67291,1.90406,2.69102,0.000396051,0.000396051,0.000396051
59,1540.12,1.40917,1.59068,2.39012,0.44314,0.31989,0.3684,0.22093,1.63678,1.88144,2.64641,0.000387052,0.000387052,0.000387052
60,1566.46,1.40602,1.5865,2.37121,0.4798,0.32263,0.38721,0.22632,1.64319,1.88986,2.67031,0.000378053,0.000378053,0.000378053
61,1592.72,1.40028,1.57728,2.36125,0.52005,0.30347,0.40212,0.24195,1.6173,1.87198,2.63764,0.000369054,0.000369054,0.000369054
62,1619.14,1.3941,1.57139,2.35834,0.53124,0.31448,0.40979,0.24016,1.66445,1.93767,2.67223,0.000360055,0.000360055,0.000360055
63,1645.38,1.38546,1.54845,2.35069,0.47304,0.32628,0.39239,0.23083,1.64721,1.90163,2.66008,0.000351056,0.000351056,0.000351056
64,1671.6,1.38513,1.5428,2.35596,0.43611,0.30562,0.36852,0.2165,1.64037,1.87378,2.65887,0.000342057,0.000342057,0.000342057
65,1697.71,1.38007,1.53431,2.34293,0.45198,0.31986,0.37756,0.22371,1.64127,1.89143,2.66921,0.000333058,0.000333058,0.000333058
66,1724.3,1.37015,1.52373,2.34521,0.46086,0.32564,0.38814,0.23594,1.6309,1.89047,2.6519,0.000324058,0.000324058,0.000324058
67,1750.91,1.3678,1.51729,2.3333,0.49283,0.32929,0.39946,0.2358,1.64481,1.88046,2.66015,0.000315059,0.000315059,0.000315059
68,1777.2,1.3655,1.51853,2.34211,0.45114,0.32011,0.37329,0.2214,1.63268,1.90044,2.65455,0.00030606,0.00030606,0.00030606
69,1803.69,1.36306,1.50617,2.31147,0.44444,0.30581,0.36806,0.21874,1.63176,1.87726,2.66998,0.000297061,0.000297061,0.000297061
70,1829.77,1.35895,1.4881,2.31011,0.47885,0.33439,0.3864,0.22697,1.62421,1.8714,2.63917,0.000288062,0.000288062,0.000288062
71,1855.96,1.35758,1.48682,2.31691,0.50174,0.31569,0.39291,0.24265,1.61441,1.86083,2.65054,0.000279063,0.000279063,0.000279063
72,1882.09,1.36054,1.47483,2.30552,0.46374,0.3256,0.38061,0.232,1.60581,1.85299,2.61947,0.000270064,0.000270064,0.000270064
73,1907.94,1.33639,1.46511,2.29621,0.49784,0.31116,0.39112,0.24122,1.60399,1.85601,2.64314,0.000261065,0.000261065,0.000261065
74,1934.37,1.34269,1.4758,2.30454,0.46751,0.31668,0.38217,0.22716,1.60889,1.87344,2.64459,0.000252066,0.000252066,0.000252066
75,1960.63,1.33758,1.45635,2.30287,0.50297,0.3371,0.40795,0.23604,1.60333,1.82916,2.62348,0.000243067,0.000243067,0.000243067
76,1986.82,1.32135,1.43804,2.27925,0.48787,0.32294,0.40431,0.24096,1.60245,1.8346,2.6316,0.000234068,0.000234068,0.000234068
77,2013.6,1.33609,1.44291,2.30658,0.4938,0.32413,0.39367,0.23037,1.60475,1.85162,2.63899,0.000225068,0.000225068,0.000225068
78,2039.72,1.33485,1.43471,2.28639,0.46708,0.34323,0.39169,0.22852,1.60106,1.84973,2.63438,0.000216069,0.000216069,0.000216069
79,2066.15,1.30511,1.42199,2.27575,0.48422,0.33972,0.39365,0.23206,1.60949,1.8332,2.65153,0.00020707,0.00020707,0.00020707
80,2092.55,1.31391,1.41766,2.27398,0.51895,0.34987,0.41667,0.24612,1.60958,1.83626,2.64356,0.000198071,0.000198071,0.000198071
81,2118.76,1.31212,1.404,2.27251,0.50505,0.34453,0.41362,0.2335,1.59111,1.84755,2.62133,0.000189072,0.000189072,0.000189072
82,2145.15,1.30846,1.41104,2.27081,0.49128,0.34139,0.39798,0.23963,1.60089,1.84254,2.62198,0.000180073,0.000180073,0.000180073
83,2171.13,1.29844,1.39922,2.27223,0.50224,0.34479,0.42236,0.24906,1.59341,1.83584,2.62616,0.000171074,0.000171074,0.000171074
84,2197.32,1.30623,1.39081,2.24674,0.46986,0.32135,0.38163,0.23069,1.59894,1.85331,2.61976,0.000162075,0.000162075,0.000162075
85,2223.45,1.29731,1.38547,2.27688,0.47137,0.32987,0.39112,0.23352,1.60054,1.85683,2.62051,0.000153076,0.000153076,0.000153076
86,2249.59,1.29272,1.37397,2.26217,0.48691,0.34194,0.40761,0.24562,1.59644,1.84121,2.61014,0.000144077,0.000144077,0.000144077
87,2275.63,1.28317,1.36312,2.23605,0.47216,0.33213,0.38895,0.23123,1.60017,1.84625,2.62166,0.000135077,0.000135077,0.000135077
88,2302.09,1.27893,1.35564,2.24324,0.49836,0.33836,0.41628,0.24669,1.59702,1.83109,2.60001,0.000126078,0.000126078,0.000126078
89,2328.02,1.27978,1.35822,2.24919,0.48647,0.35031,0.4062,0.24746,1.59717,1.8364,2.60788,0.000117079,0.000117079,0.000117079
90,2353.88,1.27835,1.34606,2.23644,0.49807,0.3378,0.39943,0.24131,1.60836,1.858,2.60802,0.00010808,0.00010808,0.00010808
91,2395.97,1.27834,1.3402,2.21481,0.45756,0.34693,0.38724,0.22922,1.60812,1.86171,2.59815,9.9081e-05,9.9081e-05,9.9081e-05
92,2421.73,1.27339,1.34829,2.23944,0.50136,0.33904,0.4152,0.24786,1.59573,1.82616,2.60452,9.00819e-05,9.00819e-05,9.00819e-05
93,2448.09,1.26166,1.33371,2.2311,0.51301,0.33771,0.41623,0.24532,1.60335,1.84452,2.61238,8.10828e-05,8.10828e-05,8.10828e-05
94,2474.32,1.25752,1.33309,2.22535,0.47499,0.34394,0.40184,0.24411,1.60581,1.84672,2.60739,7.20837e-05,7.20837e-05,7.20837e-05
95,2500.62,1.26541,1.32521,2.22094,0.48643,0.34881,0.41954,0.24578,1.60678,1.8564,2.6107,6.30846e-05,6.30846e-05,6.30846e-05
96,2526.72,1.25781,1.31856,2.23721,0.49087,0.34597,0.42548,0.24989,1.60075,1.853,2.61035,5.40855e-05,5.40855e-05,5.40855e-05
97,2552.8,1.25005,1.31379,2.21575,0.49078,0.33595,0.41742,0.24734,1.60264,1.8401,2.61405,4.50864e-05,4.50864e-05,4.50864e-05
98,2578.67,1.25613,1.31895,2.23164,0.49906,0.34445,0.42257,0.24482,1.6065,1.8574,2.6075,3.60873e-05,3.60873e-05,3.60873e-05
99,2604.63,1.25192,1.30455,2.21366,0.50365,0.34443,0.42754,0.25043,1.60449,1.84892,2.61348,2.70882e-05,2.70882e-05,2.70882e-05
100,2630.66,1.24082,1.30138,2.21674,0.49925,0.35051,0.42662,0.24765,1.60551,1.84963,2.61405,1.80891e-05,1.80891e-05,1.80891e-05
